Name,kpi_name,description,department_name,assigned_employee_name,target_value,actual_value,measurement_unit,score,status,due_date,created_at,last_updated,weight,priority
Website Performance Optimization,Website Performance Optimization,Improve page load time to under 2 seconds,Engineering,John Doe,2.0,1.8,seconds,110.0,completed,2026-08-07T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.0,High
Q2 Revenue Target,Q2 Revenue Target,Achieve $500K in revenue for Q2,Sales,Jane Smith,500000,485000,USD,97.0,in-progress,2026-07-23T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.5,Critical
Social Media Engagement,Social Media Engagement,Increase social media engagement by 25%,Marketing,Michael Brown,25.0,28.5,percentage,114.0,completed,2026-08-22T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.2,High
Employee Satisfaction Score,Employee Satisfaction Score,Maintain employee satisfaction above 85%,HR,Sarah Wilson,85.0,82.0,percentage,96.5,at-risk,2026-07-18T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.3,High
API Response Time,API Response Time,Keep average API response time under 200ms,Engineering,David Lee,200,180,milliseconds,111.1,completed,2026-07-28T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.0,Medium
Customer Acquisition Cost,Customer Acquisition Cost,Reduce CAC to under $150,Sales,Jane Smith,150,165,USD,90.9,in-progress,2026-08-02T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.4,High
Content Publishing Goal,Content Publishing Goal,Publish 20 blog posts this month,Marketing,Michael Brown,20,12,posts,60.0,in-progress,2026-07-13T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,0.8,Medium
Onboarding Time Reduction,Onboarding Time Reduction,Reduce average onboarding time to 3 days,HR,Sarah Wilson,3,4,days,75.0,overdue,2026-07-03T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.1,High
Code Quality Score,Code Quality Score,Maintain code quality score above 90,Engineering,John Doe,90,92,percentage,102.2,completed,2026-07-25T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.0,Medium
Customer Retention Rate,Customer Retention Rate,Achieve 95% customer retention rate,Sales,Jane Smith,95,93.5,percentage,98.4,in-progress,2026-08-15T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.5,Critical
Email Campaign CTR,Email Campaign CTR,Increase email click-through rate to 5%,Marketing,Michael Brown,5.0,5.8,percentage,116.0,completed,2026-07-30T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,0.9,Medium
Training Completion Rate,Training Completion Rate,Achieve 100% training completion,HR,Sarah Wilson,100,95,percentage,95.0,in-progress,2026-07-20T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.0,Medium
Bug Fix Turnaround,Bug Fix Turnaround,Reduce average bug fix time to 24 hours,Engineering,David Lee,24,18,hours,133.3,completed,2026-08-10T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.2,High
Sales Conversion Rate,Sales Conversion Rate,Improve sales conversion rate to 15%,Sales,Jane Smith,15,14.2,percentage,94.7,in-progress,2026-07-27T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.3,High
Brand Awareness Growth,Brand Awareness Growth,Increase brand awareness by 30%,Marketing,Michael Brown,30,22,percentage,73.3,in-progress,2026-08-05T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.1,Medium
Diversity Hiring Target,Diversity Hiring Target,Achieve 40% diverse hires,HR,Sarah Wilson,40,35,percentage,87.5,in-progress,2026-07-31T12:00:00.000Z,2026-07-08T12:00:00.000Z,2026-07-08T12:00:00.000Z,1.2,High
